,x,y,z,vx,vy,vz,roll,pitch,yaw
0.18730000000000002,-0.0004939875415502791,0.0002471609366504205,10.046864303615758,-0.010557312680820264,0.005284021882292835,0.5004053413705822,-0.006785192154828756,-0.006785036368898378,2.298631243315213e-05
0.1874,-0.0004950432728183611,0.0002476893388386498,10.046914344149895,-0.010574219811880559,0.005292489791735325,0.5006723206496716,-0.00679243764371007,-0.006792281357981267,2.3035446727295037e-05
0.1875,-0.0004961006947995491,0.0002482185878178233,10.04696441138196,-0.010591144965226413,0.005300966742981389,0.5009392998059928,-0.00679968699962652,-0.006799530212763916,2.308465975148859e-05
0.18760000000000002,-0.0004971598092960717,0.00024874868449212143,10.04701450531194,-0.010608088150407525,0.005309452740855005,0.5012062788393493,-0.006806940222580327,-0.006806782933245437,2.3133951589798272e-05
0.1877,-0.0004982206181111125,0.00024927962976620694,10.047064625939825,-0.01062504937697348,0.005317947790180149,0.5014732577495441,-0.006814197312573267,-0.0068140395194249415,2.3183322326334458e-05
0.18780000000000002,-0.0004992831230488099,0.00024981142454522494,10.0471147732656,-0.010642028654473756,0.005326451895780793,0.5017402365363802,-0.006821458269607117,-0.006821299971301542,2.3232772045252412e-05
0.1879,-0.0005003473259142572,0.000250344069734803,10.047164947289254,-0.010659025992457723,0.005334965062480907,0.5020072151996604,-0.006828723093683653,-0.006828564288873906,2.3282300830752285e-05
0.188,-0.000501413228513503,0.0002508775662410511,10.047215148010773,-0.010676041400474635,0.005343487295104461,0.5022741937391871,-0.0068359917848050955,-0.00683583247214159,2.3331908767079123e-05
0.18810000000000002,-0.0005024808326535504,0.00025141191497056155,10.047265375430147,-0.010693074888073641,0.005352018598475419,0.5025411721547628,-0.006843264342973665,-0.00684310452110326,2.3381595938522856e-05
0.1882,-0.0005035501401423577,0.0002519471168304091,10.047315629547363,-0.01071012646480378,0.005360558977417744,0.5028081504461894,-0.006850540768190694,-0.00685038043575803,2.3431362429418304e-05
0.1883,-0.0005046211527888381,0.00025248317272815086,10.047365910362407,-0.010727196140213977,0.0053691084367553975,0.503075128613269,-0.006857821060458402,-0.00685766021610501,2.3481208324145184e-05
0.1884,-0.0005056938724028596,0.0002530200835718264,10.047416217875268,-0.010744283923853053,0.005377666981312338,0.503342106655803,-0.006865105219778567,-0.006864943862142869,2.3531133707128098e-05
0.1885,-0.0005067683007952448,0.00025355785026995764,10.047466552085934,-0.010761389825269713,0.005386234615912522,0.5036090845735932,-0.006872393246153408,-0.006872231373871163,2.358113866283654e-05
0.18860000000000002,-0.0005078444397777718,0.0002540964737315489,10.047516912994391,-0.010778513854012555,0.005394811345379902,0.5038760623664407,-0.006879685139584701,-0.006879522751288558,2.3631223275784893e-05
0.1887,-0.0005089222911631731,0.0002546359548660869,10.047567300600628,-0.010795656019630066,0.0054033971745384305,0.5041430400341465,-0.006886980900074224,-0.006886817994394168,2.3681387630532428e-05
0.1888,-0.0005100018567651361,0.00025517629458354075,10.04761771490463,-0.010812816331670621,0.005411992108212056,0.5044100175765115,-0.006894280527624197,-0.006894117103187103,2.3731631811683314e-05
0.1889,-0.0005110831383983032,0.00025571749379436193,10.047668155906388,-0.010829994799682488,0.005420596151224724,0.5046769949933363,-0.0069015840222363956,-0.006901420077666476,2.3781955903886606e-05
